station_id,station_name,element_name,year,month,day,obs_val
43466,COLOMBO,TMPMAX,2012,4,7,32.3
43466,COLOMBO,TMPMAX,2012,4,8,32.5
43466,COLOMBO,TMPMAX,2012,4,9,32.1
43466,COLOMBO,TMPMAX,2012,4,10,31.5
43466,COLOMBO,TMPMAX,2012,4,11,31.9
43466,COLOMBO,TMPMAX,2012,4,12,29
43466,COLOMBO,TMPMAX,2012,4,13,31.8
43466,COLOMBO,TMPMAX,2012,4,14,32.6
43466,COLOMBO,TMPMAX,2012,4,15,30.8
43466,COLOMBO,TMPMAX,2012,4,16,31.7
43466,COLOMBO,TMPMAX,2012,4,17,31.4
43466,COLOMBO,TMPMAX,2012,4,18,31.7
43466,COLOMBO,TMPMAX,2012,4,19,31.1
43466,COLOMBO,TMPMAX,2012,4,20,31.1
43466,COLOMBO,TMPMAX,2012,4,21,32
43466,COLOMBO,TMPMAX,2012,4,22,30.5
43466,COLOMBO,TMPMAX,2012,4,23,27.8
43466,COLOMBO,TMPMAX,2012,4,24,30.4
43466,COLOMBO,TMPMAX,2012,4,25,30.5
43466,COLOMBO,TMPMAX,2012,4,26,30.6
43466,COLOMBO,TMPMAX,2012,4,27,31.7
43466,COLOMBO,TMPMAX,2012,4,28,31.8
43466,COLOMBO,TMPMAX,2012,4,29,31.2
43466,COLOMBO,TMPMAX,2012,4,30,29.1
43466,COLOMBO,TMPMAX,2012,4,31,
43466,COLOMBO,TMPMAX,2012,5,1,31.4
43466,COLOMBO,TMPMAX,2012,5,2,31.5
43466,COLOMBO,TMPMAX,2012,5,3,31.4
43466,COLOMBO,TMPMAX,2012,5,4,31.6
43466,COLOMBO,TMPMAX,2012,5,5,32
43466,COLOMBO,TMPMAX,2012,5,6,32.1
43466,COLOMBO,TMPMAX,2012,5,7,31.6
43466,COLOMBO,TMPMAX,2012,5,8,32
43466,COLOMBO,TMPMAX,2012,5,9,31.6
43466,COLOMBO,TMPMAX,2012,5,10,32.1
43466,COLOMBO,TMPMAX,2012,5,11,32
43466,COLOMBO,TMPMAX,2012,5,12,31.8
43466,COLOMBO,TMPMAX,2012,5,13,31.8
43466,COLOMBO,TMPMAX,2012,5,14,32
43466,COLOMBO,TMPMAX,2012,5,15,32.1
43466,COLOMBO,TMPMAX,2012,5,16,32.1
43466,COLOMBO,TMPMAX,2012,5,17,31.8
43466,COLOMBO,TMPMAX,2012,5,18,32.1
43466,COLOMBO,TMPMAX,2012,5,19,32.6
43466,COLOMBO,TMPMAX,2012,5,20,32.2
43466,COLOMBO,TMPMAX,2012,5,21,32.7
43466,COLOMBO,TMPMAX,2012,5,22,32.1
43466,COLOMBO,TMPMAX,2012,5,23,32.1
43466,COLOMBO,TMPMAX,2012,5,24,31.9
